epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,400.644,0.24408,2.31164,1.00421,0.67195,0.49074,0.51156,0.47359,0.33621,2.40898,0.4869,0.000330709,0.000330709,0.000330709
2,756.867,0.15401,1.46065,0.9188,0.38,0.74492,0.55184,0.53438,0.2868,1.85459,0.39653,0.000631172,0.000631172,0.000631172
3,1090.36,0.15343,1.26192,0.90541,0.58214,0.6447,0.67401,0.65569,0.26483,1.59405,0.31665,0.000898635,0.000898635,0.000898635
4,1409.4,0.13945,1.12328,0.90064,0.53875,0.63847,0.68537,0.6837,0.17589,1.43868,0.25668,0.0008515,0.0008515,0.0008515
5,1759.47,0.1319,1.03211,0.89789,0.57822,0.72937,0.73546,0.73251,0.17799,1.08199,0.22348,0.000802,0.000802,0.000802
6,2096.88,0.1185,0.98662,0.88895,0.55415,0.67598,0.69254,0.67039,0.29253,1.26102,0.33456,0.0007525,0.0007525,0.0007525
7,2440.62,0.10869,0.9249,0.89044,0.6978,0.75357,0.78941,0.78692,0.2039,0.9158,0.2877,0.000703,0.000703,0.000703
8,2786.62,0.10272,0.88375,0.89315,0.75536,0.72643,0.82783,0.82171,0.15016,0.81963,0.20241,0.0006535,0.0006535,0.0006535
9,3150.27,0.09639,0.82115,0.88778,0.71779,0.69162,0.80159,0.80029,0.17668,0.94089,0.24204,0.000604,0.000604,0.000604
10,3476.64,0.08982,0.77813,0.88176,0.65902,0.6924,0.76103,0.76103,0.16107,0.94398,0.22676,0.0005545,0.0005545,0.0005545
11,3820.8,0.08967,0.81403,0.87863,0.79473,0.69111,0.82168,0.81962,0.18637,0.90595,0.22979,0.000505,0.000505,0.000505
12,4159.43,0.07965,0.69551,0.87408,0.67944,0.74877,0.80092,0.79785,0.21469,0.90262,0.28433,0.0004555,0.0004555,0.0004555
13,4518.77,0.07663,0.64306,0.87511,0.75567,0.84006,0.89498,0.89498,0.13828,0.67213,0.18826,0.000406,0.000406,0.000406
14,4867.1,0.06427,0.54051,0.86137,0.8302,0.78274,0.89558,0.89531,0.14083,0.6343,0.18155,0.0003565,0.0003565,0.0003565
15,5208.25,0.05954,0.48774,0.86494,0.76312,0.77973,0.85264,0.85264,0.16445,0.69804,0.23168,0.000307,0.000307,0.000307
16,5643.2,0.05466,0.47051,0.86395,0.82255,0.8229,0.89045,0.89045,0.14737,0.65753,0.20072,0.0002575,0.0002575,0.0002575
17,5981.84,0.04973,0.37353,0.86484,0.82615,0.86808,0.90539,0.90539,0.13864,0.57319,0.19303,0.000208,0.000208,0.000208
18,6305.37,0.04646,0.35589,0.85499,0.81995,0.85173,0.90803,0.90803,0.13034,0.54232,0.1745,0.0001585,0.0001585,0.0001585
19,6645.42,0.04315,0.31254,0.85613,0.85177,0.8691,0.92201,0.92201,0.13343,0.51327,0.18183,0.000109,0.000109,0.000109
20,6985.12,0.03986,0.28959,0.85769,0.82767,0.88777,0.92436,0.92436,0.1099,0.4931,0.15075,5.95e-05,5.95e-05,5.95e-05
